nombre,url,posicion,pais,altura,peso,equipo,aerial_duels_lost,through_balls,total_clearances,ground_duels,overruns,aerial_duels_won,substitute_on,unsuccessful_dribbles,penalties_taken,touches,putthrough_blocked_distribution,successful_dribbles,right_foot_goals,goals,recoveries,tackles_won,yellow_cards,successful_short_passes,successful_passes_own_half,left_foot_goals,headed_goals,penalty_goals,penalty_goals_conceded,goal_assists,total_fouls_won,putthrough_blocked_distribution_won,offsides,total_shots,hit_woodwork,games_played,total_successful_passes_excl_crosses_corners,rightside_passes,time_played,goals_conceded,tackles_lost,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_layoffs,foul_attempted_tackle,open_play_passes,total_tackles,ground_duels_won,successful_passes_opposition_half,corners_won,times_tackled,unsuccessful_passes_own_half,goals_conceded_inside_box,handballs_conceded,successful_open_play_passes,total_losses_of_possession,forward_passes,shots_on_target_inc_goals,successful_layoffs,attempts_from_set_pieces,clean_sheets,appearances,unsuccessful_crosses_corners,unsuccessful_passes_opposition_half,unsuccessful_short_passes,blocked_shots,total_fouls_conceded,duels_won,aerial_duels,duels,total_passes,shots_off_target_inc_woodwork,duels_lost,blocks,key_passes_attempt_assists,successful_long_passes,goals_conceded_outside_box,backward_passes,assists_intentional,leftside_passes,starts,total_touches_in_opposition_box,substitute_off,ground_duels_lost,unsuccessful_crosses_open_play,goals_from_inside_box,goals_from_outside_box,index,home_goals,away_goals,winning_goal,team_games_played,foul_won_penalty,successful_crosses_open_play,successful_crosses_corners,throw_ins_to_own_player,unsuccessful_long_passes,clearances_off_the_line,interceptions,total_red_cards,unsuccessful_launches,straight_red_cards,corners_taken_incl_short_corners,unsuccessful_corners_into_box,set_pieces_goals,other_goals,successful_corners_into_box,second_goal_assists,successful_launches,red_cards_2nd_yellow,penalties_conceded,throw_ins_to_opposition_player,own_goal_scored,penalties_off_target,last_player_tackle,gk_successful_distribution,goal_kicks,gk_unsuccessful_distribution,saves_made_from_outside_box,saves_made_from_inside_box,penalties_faced,saves_made,saves_from_penalty,saves_made_caught,drops,penalties_saved,goalkeeper_smother,punches,saves_made_parried,catches,crosses_not_claimed
DIEGO MÉNDEZ,https://www.laliga.com//es-GB/jugador/diego-mendez,Defensa,ES,182,null,Rayo Vallecano,,,,2.0,,1.0,1.0,,,4.0,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,1.0,2.0,,4.0,,,,,,2.0,1.0,1.0,1.0,,,,,,2.0,,2.0,,,,,1.0,,,,,1.0,2.0,1.0,3.0,2.0,,1.0,,,,,,,,,,,1.0,,,,93.0,,,0.0,38,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVÁN BALLIU,https://www.laliga.com//es-GB/jugador/balliu,Defensa,AL,172,63,Rayo Vallecano,28.0,2.0,55.0,158.0,5.0,31.0,1.0,10.0,,1799.0,59.0,7.0,,,127.0,31.0,4.0,747.0,372.0,,,,1.0,1.0,30.0,16.0,8.0,7.0,,33.0,799.0,43.0,2876.0,39.0,13.0,239.0,,29.0,1014.0,44.0,80.0,442.0,17.0,21.0,61.0,34.0,,777.0,425.0,453.0,4.0,,,11.0,33.0,53.0,231.0,146.0,4.0,41.0,111.0,59.0,217.0,1038.0,3.0,106.0,11.0,23.0,52.0,5.0,170.0,,372.0,32.0,34.0,4.0,78.0,53.0,,,42.0,,,0.0,38,,15.0,15.0,302.0,93.0,,29.0,,44.0,,,,,,,,15.0,,,69.0,,,,,,,,,,,,,,,,,,,
STOLE DIMITRIEVSKI,https://www.laliga.com//es-GB/jugador/dimitrievski,Portero,MK,188,84,Rayo Vallecano,1.0,,35.0,4.0,,7.0,,,,1374.0,,1.0,,,304.0,1.0,2.0,376.0,435.0,,,,1.0,,3.0,,,,,37.0,567.0,117.0,3330.0,47.0,,457.0,,,557.0,1.0,4.0,132.0,1.0,,70.0,42.0,,343.0,466.0,709.0,,,,13.0,37.0,,387.0,7.0,,,11.0,8.0,12.0,1024.0,,1.0,,2.0,191.0,5.0,,,198.0,37.0,,,,,,,58.0,,,0.0,38,,,,,450.0,,,,209.0,,,,,,,,67.0,,,,,,1.0,312.0,267.0,126.0,35.0,70.0,2.0,107.0,1.0,2.0,3.0,1.0,,18.0,27.0,20.0,
ÓSCAR TREJO,https://www.laliga.com//es-GB/jugador/oscar-trejo,Delantero,AR,180,79,Rayo Vallecano,20.0,3.0,9.0,250.0,2.0,14.0,12.0,43.0,,1140.0,36.0,33.0,,,92.0,15.0,4.0,619.0,166.0,,,,1.0,,40.0,20.0,3.0,11.0,1.0,31.0,634.0,179.0,1381.0,18.0,12.0,113.0,,28.0,722.0,27.0,100.0,473.0,8.0,103.0,14.0,16.0,1.0,609.0,286.0,246.0,3.0,28.0,,,31.0,18.0,117.0,98.0,7.0,40.0,114.0,34.0,284.0,747.0,8.0,170.0,1.0,23.0,15.0,2.0,167.0,,155.0,19.0,57.0,17.0,150.0,14.0,,,26.0,,,0.0,38,1.0,1.0,5.0,7.0,15.0,,5.0,1.0,1.0,1.0,11.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
ÁLVARO LEMOS,https://www.laliga.com//es-GB/jugador/a-lemos,Delantero,ES,175,77,UD Las Palmas,2.0,,3.0,13.0,,5.0,1.0,2.0,,213.0,8.0,,,,10.0,1.0,1.0,114.0,56.0,,,,,,3.0,2.0,1.0,1.0,,4.0,118.0,14.0,251.0,3.0,3.0,27.0,,2.0,141.0,4.0,7.0,62.0,1.0,2.0,7.0,3.0,,114.0,46.0,56.0,,,,,4.0,5.0,25.0,16.0,,2.0,12.0,7.0,20.0,145.0,1.0,8.0,1.0,,4.0,,28.0,,47.0,3.0,,2.0,6.0,5.0,,,41.0,,,0.0,38,,,,27.0,11.0,,2.0,,7.0,,,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,
DALEY SINKGRAVEN,https://www.laliga.com//es-GB/jugador/daley-sinkgraven,Defensa,NL,179,67,UD Las Palmas,1.0,,5.0,31.0,,5.0,4.0,3.0,,331.0,5.0,,,,17.0,5.0,,201.0,103.0,,,,1.0,,5.0,2.0,,,,10.0,206.0,88.0,375.0,7.0,6.0,30.0,,3.0,227.0,11.0,16.0,103.0,1.0,5.0,14.0,6.0,,199.0,47.0,78.0,,,,,10.0,5.0,21.0,24.0,,4.0,21.0,6.0,37.0,236.0,,16.0,3.0,,5.0,1.0,54.0,,16.0,6.0,1.0,5.0,15.0,4.0,,,1.0,,,0.0,38,,,,31.0,6.0,,6.0,1.0,3.0,1.0,1.0,1.0,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,
OMENUKE MFULU,https://www.laliga.com//es-GB/jugador/mfulu,Centrocampista,CD,182,76,UD Las Palmas,4.0,,5.0,8.0,,3.0,4.0,,,81.0,1.0,1.0,,,7.0,3.0,1.0,53.0,27.0,,,,,,2.0,,,,,5.0,53.0,16.0,77.0,3.0,1.0,7.0,,,59.0,4.0,7.0,26.0,,,2.0,3.0,,52.0,9.0,22.0,,1.0,,,5.0,,5.0,3.0,,,10.0,7.0,15.0,60.0,,5.0,1.0,,,,6.0,,16.0,1.0,,1.0,1.0,,,,89.0,,,0.0,38,,,,,4.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÁLVARO VALLÉS,https://www.laliga.com//es-GB/jugador/a-valles,Portero,ES,190,78,UD Las Palmas,2.0,3.0,66.0,15.0,,9.0,,,,2154.0,1.0,1.0,,,328.0,2.0,2.0,1134.0,1244.0,,,,5.0,,6.0,,,,,37.0,1353.0,261.0,3264.0,44.0,1.0,364.0,,1.0,1396.0,3.0,9.0,109.0,,,92.0,41.0,,1159.0,382.0,982.0,,,,8.0,37.0,1.0,273.0,22.0,,1.0,18.0,11.0,26.0,1717.0,,8.0,,,219.0,3.0,,,474.0,37.0,,,6.0,,,,77.0,,,0.0,38,,,,1.0,342.0,,,1.0,165.0,1.0,,,,,,,23.0,,,,,,1.0,299.0,151.0,46.0,38.0,73.0,9.0,113.0,3.0,1.0,2.0,3.0,2.0,26.0,41.0,27.0,
ENZO LOIODICE,https://www.laliga.com//es-GB/jugador/loiodice,Centrocampista,FR,176,60,UD Las Palmas,27.0,8.0,15.0,242.0,6.0,28.0,15.0,21.0,,1476.0,47.0,28.0,,,123.0,35.0,2.0,904.0,436.0,,,,2.0,1.0,38.0,18.0,1.0,11.0,2.0,34.0,927.0,287.0,1791.0,19.0,27.0,173.0,4.0,26.0,1085.0,62.0,127.0,497.0,10.0,63.0,67.0,18.0,2.0,912.0,304.0,248.0,6.0,35.0,,1.0,34.0,17.0,123.0,150.0,5.0,32.0,155.0,55.0,297.0,1100.0,5.0,142.0,2.0,18.0,23.0,1.0,277.0,1.0,288.0,19.0,31.0,15.0,115.0,10.0,,,24.0,,,0.0,38,,1.0,6.0,2.0,23.0,,12.0,,10.0,,13.0,6.0,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
IGOR ZUBELDIA,https://www.laliga.com//es-GB/jugador/zubeldia,Centrocampista,ES,181,73,Real Sociedad,86.0,3.0,94.0,96.0,,83.0,1.0,4.0,,2023.0,16.0,4.0,,,156.0,25.0,11.0,1380.0,1010.0,,,,4.0,2.0,9.0,9.0,,5.0,1.0,30.0,1475.0,372.0,2523.0,28.0,7.0,260.0,,22.0,1693.0,32.0,45.0,466.0,5.0,7.0,94.0,24.0,1.0,1435.0,291.0,603.0,,1.0,,8.0,30.0,2.0,168.0,149.0,7.0,43.0,128.0,169.0,265.0,1735.0,5.0,137.0,19.0,8.0,95.0,4.0,112.0,,648.0,29.0,18.0,5.0,51.0,2.0,,,42.0,,,0.0,38,,1.0,1.0,,111.0,,32.0,1.0,58.0,1.0,,,,,,,22.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
JON OLASAGASTI,https://www.laliga.com//es-GB/jugador/jon-ander-olasagasti,Centrocampista,ES,176,74,Real Sociedad,10.0,1.0,5.0,48.0,,7.0,12.0,3.0,,252.0,9.0,7.0,,,36.0,13.0,3.0,123.0,57.0,,,,,,7.0,2.0,1.0,6.0,,14.0,127.0,33.0,351.0,8.0,3.0,41.0,1.0,7.0,166.0,16.0,29.0,70.0,1.0,9.0,8.0,7.0,,125.0,61.0,52.0,,8.0,,,14.0,1.0,34.0,33.0,3.0,7.0,36.0,17.0,65.0,168.0,6.0,29.0,,6.0,4.0,1.0,39.0,,44.0,2.0,18.0,2.0,19.0,,,,45.0,,,0.0,38,,,,,8.0,,3.0,,4.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
BEÑAT TURRIENTES,https://www.laliga.com//es-GB/jugador/benat-turrientes,Centrocampista,ES,181,70,Real Sociedad,31.0,1.0,17.0,167.0,,16.0,10.0,14.0,,949.0,25.0,21.0,,,81.0,17.0,4.0,559.0,288.0,,,,4.0,1.0,36.0,11.0,,17.0,,29.0,597.0,216.0,1688.0,19.0,14.0,88.0,1.0,33.0,665.0,31.0,88.0,310.0,8.0,28.0,31.0,19.0,2.0,579.0,163.0,164.0,10.0,14.0,1.0,3.0,29.0,18.0,75.0,67.0,6.0,36.0,104.0,47.0,214.0,685.0,7.0,110.0,8.0,8.0,38.0,,155.0,,150.0,19.0,12.0,13.0,79.0,4.0,,,100.0,,,0.0,38,,,1.0,,21.0,,6.0,,14.0,,16.0,12.0,,,1.0,,5.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
HAMARI TRAORÉ,https://www.laliga.com//es-GB/jugador/hamari-traore,Defensa,ML,175,64,Real Sociedad,36.0,5.0,48.0,139.0,1.0,32.0,4.0,9.0,,1797.0,38.0,16.0,,,136.0,19.0,7.0,957.0,520.0,,,,5.0,2.0,18.0,19.0,1.0,15.0,,31.0,1032.0,76.0,2296.0,27.0,25.0,188.0,,23.0,1200.0,44.0,75.0,523.0,17.0,18.0,56.0,23.0,3.0,1013.0,347.0,440.0,2.0,1.0,,6.0,31.0,36.0,168.0,126.0,3.0,32.0,107.0,68.0,207.0,1220.0,13.0,100.0,8.0,27.0,75.0,4.0,197.0,,507.0,27.0,18.0,10.0,64.0,36.0,,,49.0,,,0.0,38,,11.0,11.0,161.0,62.0,,24.0,,32.0,,,,,,,,7.0,,1.0,74.0,,,,,,,,,,,,,,,,,,,
AIHEN MUÑOZ,https://www.laliga.com//es-GB/jugador/aihen,Defensa,ES,175,68,Real Sociedad,17.0,,32.0,97.0,3.0,23.0,10.0,7.0,,873.0,27.0,10.0,,,66.0,21.0,2.0,370.0,214.0,,,,2.0,2.0,8.0,8.0,,6.0,,21.0,391.0,156.0,1120.0,14.0,15.0,115.0,,11.0,495.0,36.0,54.0,188.0,8.0,15.0,56.0,13.0,,381.0,230.0,244.0,2.0,,,2.0,21.0,18.0,77.0,78.0,1.0,17.0,77.0,40.0,137.0,506.0,4.0,60.0,8.0,10.0,21.0,1.0,80.0,1.0,26.0,11.0,7.0,1.0,43.0,18.0,,,29.0,,,0.0,38,,11.0,11.0,102.0,37.0,1.0,9.0,,16.0,,,,,,,,8.0,,,62.0,,,,,,,,,,,,,,,,,,,
MOHAMED-ALI CHO,https://www.laliga.com//es-GB/jugador/mohamed-ali-cho,Delantero,FR,181,66,Nice,13.0,1.0,4.0,109.0,2.0,5.0,6.0,19.0,,423.0,18.0,16.0,,1.0,30.0,9.0,2.0,182.0,63.0,1.0,,,1.0,2.0,22.0,10.0,3.0,13.0,1.0,17.0,184.0,20.0,863.0,8.0,3.0,39.0,,12.0,218.0,12.0,50.0,130.0,5.0,35.0,6.0,7.0,,180.0,131.0,43.0,6.0,4.0,,,17.0,35.0,68.0,39.0,5.0,17.0,55.0,18.0,127.0,223.0,7.0,72.0,,12.0,2.0,1.0,85.0,2.0,75.0,11.0,40.0,11.0,59.0,22.0,1.0,,75.0,1.0,0.0,0.0,34,1.0,5.0,9.0,,,,3.0,,,,16.0,11.0,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
ÁLEX REMIRO,https://www.laliga.com//es-GB/jugador/a-remiro,Portero,ES,191,79,Real Sociedad,,,41.0,4.0,,7.0,,,,1423.0,,,,,239.0,,2.0,614.0,724.0,,,,5.0,,4.0,,,,,37.0,855.0,241.0,3276.0,36.0,,287.0,,1.0,817.0,,4.0,131.0,,,65.0,32.0,1.0,683.0,295.0,635.0,,,,15.0,37.0,,222.0,9.0,,1.0,11.0,7.0,11.0,1142.0,,,,1.0,241.0,4.0,,,266.0,37.0,,,,,,,59.0,,,0.0,38,,,,,278.0,,,1.0,122.0,1.0,,,,,,,57.0,,,,,,,212.0,163.0,62.0,31.0,64.0,6.0,97.0,1.0,3.0,3.0,1.0,2.0,17.0,27.0,15.0,
OMAR MASCARELL,https://www.laliga.com//es-GB/jugador/mascarell,Centrocampista,GQ,181,76,RCD Mallorca,26.0,2.0,29.0,107.0,,31.0,11.0,1.0,,978.0,29.0,8.0,,,103.0,16.0,7.0,584.0,359.0,,,,3.0,,14.0,16.0,,4.0,,29.0,636.0,191.0,1573.0,21.0,17.0,138.0,,22.0,762.0,33.0,54.0,278.0,1.0,9.0,44.0,17.0,2.0,624.0,156.0,241.0,,8.0,,3.0,29.0,3.0,97.0,88.0,2.0,31.0,85.0,57.0,164.0,774.0,4.0,79.0,8.0,3.0,52.0,4.0,128.0,,214.0,18.0,7.0,12.0,53.0,3.0,,,20.0,,,0.0,38,,1.0,1.0,1.0,50.0,,31.0,,35.0,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,
JAUME COSTA,https://www.laliga.com//es-GB/jugador/j-costa,Defensa,ES,171,62,RCD Mallorca,16.0,,32.0,116.0,,15.0,11.0,9.0,,1026.0,26.0,8.0,,,78.0,22.0,7.0,425.0,230.0,,,,2.0,1.0,22.0,10.0,2.0,5.0,,30.0,452.0,232.0,1682.0,26.0,16.0,133.0,,17.0,582.0,38.0,66.0,237.0,8.0,14.0,37.0,23.0,,450.0,247.0,216.0,2.0,1.0,,2.0,30.0,48.0,144.0,87.0,1.0,25.0,81.0,31.0,147.0,585.0,3.0,66.0,4.0,18.0,27.0,3.0,123.0,1.0,14.0,19.0,22.0,11.0,50.0,48.0,,,20.0,,,0.0,38,,15.0,15.0,148.0,46.0,,16.0,,20.0,,,,,,,,9.0,,,27.0,,,,,,,,,,,,,,,,,,,
PREDRAG RAJKOVIC,https://www.laliga.com//es-GB/jugador/predrag-rajkovic,Portero,RS,191,86,RCD Mallorca,3.0,,30.0,8.0,,6.0,,,,1430.0,,3.0,,,299.0,1.0,2.0,268.0,338.0,,,,4.0,,4.0,,,,,36.0,622.0,114.0,3240.0,43.0,1.0,507.0,,,602.0,2.0,8.0,284.0,2.0,,73.0,36.0,,340.0,515.0,895.0,,,,9.0,36.0,,434.0,6.0,,1.0,14.0,9.0,17.0,1129.0,,3.0,,4.0,354.0,7.0,,,120.0,36.0,,,,,,,62.0,,,0.0,38,,,,,501.0,,,,235.0,,,,,,,,127.0,,,,,,,291.0,300.0,126.0,34.0,62.0,5.0,99.0,1.0,5.0,2.0,1.0,1.0,16.0,26.0,31.0,2.0
MARTIN VALJENT,https://www.laliga.com//es-GB/jugador/valjent,Defensa,SK,187,70,RCD Mallorca,24.0,5.0,107.0,87.0,,48.0,,2.0,,1352.0,28.0,1.0,,,97.0,18.0,5.0,735.0,530.0,,,,4.0,1.0,10.0,15.0,2.0,4.0,,28.0,801.0,161.0,2354.0,34.0,16.0,182.0,,18.0,951.0,34.0,43.0,274.0,3.0,4.0,65.0,28.0,1.0,772.0,238.0,416.0,,1.0,,5.0,28.0,15.0,132.0,84.0,5.0,29.0,91.0,72.0,159.0,983.0,4.0,68.0,11.0,6.0,66.0,6.0,94.0,1.0,312.0,28.0,16.0,6.0,44.0,15.0,,,33.0,,,0.0,38,,3.0,3.0,43.0,98.0,,29.0,,53.0,,,,,,,,20.0,,,17.0,,,,2.0,2.0,,,,,,,,,,,,,,
AMATH NDIAYE,https://www.laliga.com//es-GB/jugador/amath,Delantero,SN,173,70,Real Valladolid CF,7.0,,,75.0,4.0,5.0,2.0,15.0,,308.0,10.0,13.0,4.0,5.0,31.0,4.0,2.0,117.0,34.0,,1.0,,,2.0,12.0,5.0,1.0,12.0,,9.0,130.0,37.0,574.0,3.0,4.0,34.0,,12.0,163.0,8.0,33.0,99.0,9.0,25.0,5.0,3.0,2.0,129.0,100.0,63.0,6.0,4.0,,1.0,9.0,11.0,40.0,33.0,4.0,12.0,38.0,12.0,87.0,164.0,6.0,49.0,2.0,8.0,13.0,,42.0,1.0,22.0,7.0,37.0,6.0,42.0,10.0,5.0,,10.0,4.0,1.0,1.0,41,,3.0,3.0,1.0,1.0,,3.0,,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
MANU MORLANES,https://www.laliga.com//es-GB/jugador/morlanes,Centrocampista,ES,178,75,RCD Mallorca,14.0,6.0,19.0,162.0,2.0,17.0,19.0,7.0,,1038.0,22.0,21.0,,,125.0,29.0,2.0,628.0,293.0,,,,3.0,2.0,24.0,12.0,,5.0,,35.0,662.0,227.0,1610.0,23.0,21.0,119.0,,14.0,770.0,50.0,95.0,373.0,5.0,24.0,38.0,20.0,1.0,652.0,183.0,216.0,4.0,12.0,,,35.0,13.0,94.0,88.0,6.0,15.0,112.0,31.0,193.0,781.0,1.0,81.0,1.0,14.0,34.0,3.0,134.0,2.0,204.0,16.0,23.0,12.0,67.0,12.0,,,50.0,,,0.0,38,,4.0,4.0,3.0,31.0,,20.0,,10.0,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
PAULO GAZZANIGA,https://www.laliga.com//es-GB/jugador/paulo-gazzaniga,Portero,AR,196,90,Girona FC,,1.0,17.0,18.0,,9.0,,,,1596.0,1.0,6.0,,,307.0,2.0,2.0,719.0,806.0,,,,5.0,,8.0,,,,,38.0,917.0,237.0,3420.0,46.0,,291.0,,,832.0,2.0,15.0,111.0,,1.0,56.0,44.0,,681.0,300.0,682.0,,,,12.0,38.0,,235.0,9.0,,,24.0,9.0,27.0,1208.0,,3.0,,3.0,198.0,2.0,,,289.0,38.0,,,3.0,,,,76.0,,,0.0,38,,,,,282.0,,,,104.0,,,,,,,,35.0,,,,,,,340.0,246.0,84.0,38.0,84.0,7.0,125.0,1.0,6.0,6.0,1.0,2.0,5.0,31.0,35.0,
PABLO TORRE,https://www.laliga.com//es-GB/jugador/pablo-torre,Centrocampista,ES,173,63,Girona FC,7.0,8.0,3.0,69.0,2.0,,22.0,10.0,,557.0,16.0,6.0,,,42.0,2.0,1.0,339.0,133.0,,,,,2.0,21.0,8.0,,5.0,,26.0,356.0,114.0,690.0,10.0,3.0,64.0,1.0,7.0,410.0,5.0,32.0,223.0,6.0,23.0,12.0,10.0,,347.0,115.0,103.0,1.0,10.0,,,26.0,7.0,59.0,55.0,8.0,8.0,32.0,7.0,76.0,420.0,4.0,44.0,2.0,9.0,17.0,,109.0,,94.0,4.0,26.0,5.0,37.0,6.0,,,68.0,,,0.0,38,,,,,9.0,,4.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
ARNAU MARTÍNEZ,https://www.laliga.com//es-GB/jugador/arnau-1,Defensa,ES,181,72,Girona FC,15.0,2.0,34.0,92.0,,10.0,7.0,4.0,,1002.0,18.0,3.0,,,65.0,16.0,5.0,661.0,402.0,,,,2.0,2.0,22.0,10.0,1.0,1.0,,21.0,673.0,82.0,1240.0,14.0,9.0,76.0,,10.0,724.0,25.0,50.0,276.0,2.0,13.0,33.0,14.0,,648.0,112.0,234.0,,4.0,,2.0,21.0,2.0,45.0,53.0,,14.0,60.0,25.0,117.0,749.0,1.0,57.0,5.0,9.0,12.0,,122.0,2.0,311.0,14.0,10.0,8.0,42.0,2.0,,,55.0,,,0.0,38,,5.0,5.0,73.0,23.0,,10.0,,14.0,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,
UNAI SIMÓN,https://www.laliga.com//es-GB/jugador/unai-simon,Portero,ES,190,88,Athletic Club,1.0,,14.0,11.0,,12.0,,,,1391.0,1.0,,,,322.0,1.0,2.0,338.0,401.0,,,,1.0,,8.0,,,,,36.0,586.0,114.0,3184.0,33.0,1.0,492.0,,,641.0,2.0,10.0,185.0,1.0,,64.0,29.0,,405.0,499.0,783.0,,,,16.0,36.0,,428.0,6.0,,,22.0,13.0,24.0,1078.0,,2.0,,1.0,248.0,4.0,,,181.0,36.0,,2.0,1.0,,,,69.0,,,0.0,38,,,,,486.0,,1.0,,222.0,,,,,,,,82.0,,,,1.0,,,250.0,240.0,134.0,33.0,60.0,5.0,96.0,3.0,1.0,3.0,3.0,6.0,5.0,26.0,28.0,1.0
DANI VIVIAN,https://www.laliga.com//es-GB/jugador/vivian,Defensa,ES,183,78,Athletic Club,47.0,2.0,100.0,134.0,,34.0,2.0,4.0,,2080.0,29.0,5.0,,,213.0,28.0,6.0,1326.0,966.0,,,,1.0,,26.0,24.0,1.0,7.0,2.0,33.0,1433.0,299.0,2879.0,34.0,14.0,265.0,,23.0,1638.0,42.0,73.0,468.0,3.0,9.0,87.0,30.0,1.0,1383.0,313.0,681.0,1.0,,,12.0,33.0,3.0,181.0,133.0,4.0,37.0,107.0,81.0,215.0,1698.0,6.0,108.0,25.0,6.0,107.0,4.0,99.0,,619.0,31.0,28.0,2.0,61.0,3.0,,,56.0,,,0.0,38,,1.0,1.0,8.0,132.0,1.0,31.0,,68.0,,,,,,,,22.0,,,2.0,,,,,,,,,,,,,,,,,,,
IMANOL GARCÍA DE ALBÉNIZ,https://www.laliga.com//es-GB/jugador/imanol-garcia-de-albeniz,Defensa,ES,177,63,Athletic Club,4.0,,11.0,35.0,,10.0,4.0,1.0,,407.0,17.0,4.0,,,37.0,5.0,2.0,209.0,114.0,,,,,,2.0,6.0,,,,9.0,217.0,105.0,523.0,7.0,2.0,43.0,,2.0,257.0,7.0,13.0,110.0,7.0,4.0,17.0,5.0,,215.0,72.0,97.0,,,,1.0,9.0,14.0,40.0,33.0,1.0,5.0,23.0,14.0,49.0,260.0,,26.0,,2.0,8.0,2.0,51.0,,7.0,5.0,5.0,2.0,22.0,13.0,,,29.0,,,0.0,38,,7.0,7.0,56.0,10.0,,7.0,,7.0,,1.0,1.0,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,
ÍÑIGO LEKUE,https://www.laliga.com//es-GB/jugador/i-lekue,Defensa,ES,180,70,Athletic Club,9.0,2.0,42.0,140.0,2.0,15.0,5.0,25.0,,1525.0,47.0,18.0,,,139.0,22.0,4.0,784.0,413.0,,,,,2.0,7.0,18.0,,2.0,,27.0,824.0,230.0,2001.0,23.0,18.0,201.0,,10.0,999.0,40.0,65.0,418.0,3.0,34.0,69.0,18.0,,800.0,314.0,443.0,,,,7.0,27.0,30.0,162.0,134.0,3.0,15.0,80.0,24.0,164.0,1025.0,2.0,84.0,6.0,15.0,40.0,5.0,160.0,1.0,192.0,22.0,9.0,4.0,75.0,30.0,,,100.0,,,0.0,38,,7.0,7.0,181.0,67.0,,15.0,,37.0,,,,,,,,10.0,,,26.0,,,1.0,3.0,3.0,,,,,,,,,,,,,,
ANDER HERRERA,https://www.laliga.com//es-GB/jugador/ander,Centrocampista,ES,182,71,Athletic Club,24.0,4.0,17.0,107.0,,14.0,13.0,4.0,,934.0,16.0,5.0,,,76.0,32.0,4.0,610.0,247.0,,,,1.0,3.0,11.0,10.0,,8.0,1.0,23.0,638.0,221.0,1023.0,10.0,12.0,99.0,,20.0,714.0,44.0,60.0,395.0,3.0,10.0,21.0,10.0,,617.0,129.0,222.0,2.0,5.0,,3.0,23.0,9.0,87.0,75.0,6.0,21.0,74.0,38.0,145.0,737.0,6.0,71.0,6.0,9.0,28.0,,122.0,2.0,172.0,10.0,13.0,7.0,47.0,9.0,,,100.0,,,0.0,38,,4.0,4.0,1.0,24.0,,15.0,,12.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
EDUARDO CAMAVINGA,https://www.laliga.com//es-GB/jugador/eduardo-camavinga,Centrocampista,FR,182,68,Real Madrid,18.0,4.0,21.0,282.0,4.0,18.0,10.0,18.0,,1733.0,40.0,36.0,,,146.0,47.0,9.0,1146.0,557.0,,,,1.0,2.0,68.0,28.0,1.0,12.0,,31.0,1185.0,362.0,1824.0,14.0,29.0,113.0,,35.0,1274.0,76.0,180.0,631.0,5.0,42.0,29.0,14.0,4.0,1161.0,195.0,321.0,7.0,29.0,,3.0,31.0,1.0,85.0,90.0,5.0,49.0,198.0,36.0,318.0,1298.0,5.0,120.0,8.0,18.0,39.0,,251.0,2.0,364.0,21.0,22.0,16.0,102.0,1.0,,,62.0,,,0.0,38,,3.0,3.0,17.0,23.0,,29.0,,2.0,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,
ANDRII LUNIN,https://www.laliga.com//es-GB/jugador/lunin,Portero,UA,191,80,Real Madrid,,,29.0,2.0,,10.0,,,,779.0,2.0,,,,133.0,,2.0,418.0,468.0,,,,1.0,,3.0,,,,,21.0,485.0,153.0,1890.0,17.0,,84.0,,,427.0,,1.0,17.0,,,39.0,16.0,,370.0,86.0,237.0,,,,10.0,21.0,,45.0,5.0,,,11.0,10.0,12.0,569.0,,1.0,,1.0,67.0,1.0,,,179.0,21.0,,,1.0,,,,69.0,,,0.0,38,,,,,79.0,,,,49.0,,,,,,,,6.0,,,,,,,196.0,116.0,15.0,11.0,37.0,1.0,48.0,,3.0,2.0,,2.0,14.0,16.0,25.0,
